timestamp,message
"2025-04-25 10:00:00","Hello everyone! Welcome to the stream!"
"2025-04-25 10:00:15","Hey! Glad to be here."
"2025-04-25 10:00:30","What game are we playing today?"
"2025-04-25 10:01:00","This game looks amazing! Great choice."
"2025-04-25 10:01:10","LUL This is hilarious"
"2025-04-25 10:01:45","Bu oyun harika görünüyor! Çok iyi seçim."
"2025-04-25 10:02:05","Can you turn up the game volume a bit?"
"2025-04-25 10:02:30","This part is so boring..."
"2025-04-25 10:02:55","Selamlar! Yayına hoş geldiniz!"
"2025-04-25 10:03:10","LOL what just happened?"
"2025-04-25 10:03:33","I don't understand this strategy."
"2025-04-25 10:04:01","Bu stratejiyi anlamadım."
"2025-04-25 10:04:20","This is the best stream ever!"
"2025-04-25 10:04:50","Lagging a bit for me."
"2025-04-25 10:05:15","Bende biraz kasıyor yayın."
"2025-04-25 10:05:40","Keep up the great work!"
"2025-04-25 10:06:00","Mükemmel yayın devam!"
"2025-04-25 10:06:22","Why did you do that? Terrible move."
"2025-04-25 10:06:45","Neden bunu yaptın? Kötü hamle."
"2025-04-25 10:07:10","PogChamp"
"2025-04-25 10:07:30","Maybe try going left instead?"
"2025-04-25 10:07:55","Could you play some music?"
"2025-04-25 10:08:11","Anyone else having audio issues?"
"2025-04-25 10:08:35","Ses sorunu yaşayan var mı?"
"2025-04-25 10:09:00","GG!" 
"2025-04-26 14:00:00","Yayın başladı! Hoş geldiniz hepiniz! 🔥"
"2025-04-26 14:00:05","Selam!"
"2025-04-26 14:00:12","Let's GOOOO!"
"2025-04-26 14:00:20","İlk yorum benden 😎"
"2025-04-26 14:00:28","What game today? Pog"
"2025-04-26 14:00:35","Abi yine mi bu oyun ya? 🥱"
"2025-04-26 14:00:41","LUL"
"2025-04-26 14:00:50","This streamer is kinda trash ngl"
"2025-04-26 14:00:58","Ohaaa naptın öyle! Helal! 👏👏"
"2025-04-26 14:01:05","KEKW"
"2025-04-26 14:01:11","Chat spam yapmayın pls"
"2025-04-26 14:01:18","OMG that was close!"
"2025-04-26 14:01:25","Ses çok az geliyor abi."
"2025-04-26 14:01:33","Turn up the volume ffs 😠"
"2025-04-26 14:01:40","Bu ne biçim hamle amk? Mal mısın?"
"2025-04-26 14:01:48","Don't listen to haters bro, you're doing great! ❤️"
